Ordem,Material,Número de Série,Descrição,Data/Hora
800003451589,1100672,EVC0010,Pre-Cut WEB-FB E175EP5RB01,2025-03-26 16:20:11
800003451589,1100672,EVC0011,Pre-Cut WEB-FB E175EP5RB01,2025-03-26 16:20:11
800003451589,1100672,EVC0012,Pre-Cut WEB-FB E175EP5RB01,2025-03-26 16:20:11
